inquiry_id,question,sql
inquiry_MTzoIbMP,In what countries are most of our jobs offered?,"SELECT t.country_name AS Country, COUNT(*) AS Job_Count FROM `draftboard-368620.JEDIFY.job_locations` AS t WHERE t.country_name IS NOT NULL AND t.country_name <> '' AND t.created_at >= '2024-01-01' AND t.created_at < '2024-01-20' GROUP BY t.country_name ORDER BY Job_Count DESC"
inquiry_aiTiTTpt,What is the churn rate of a scout after trying to fill their first position?,"WITH UserData AS (\n  SELECT\n    ur.user_id,\n    MAX(s.last_session_date) AS last_session_date,\n    COUNT(DISTINCT a.id) AS applications,\n    COUNT(DISTINCT ur.id) AS roles_num\n  FROM\n    `draftboard-368620.JEDIFY.user_roles` ur\n  JOIN `JEDIFY.job_applications` a ON ur.user_id = a.scout_id\n  LEFT JOIN `draftboard-368620.JEDIFY.jobs` j ON a.job_id = j.id\n  LEFT JOIN `draftboard-368620.JEDIFY.company_industries` ci ON j.company_id = ci.company_id\n  JOIN (\n    SELECT DISTINCT\n      JSON_EXTRACT_SCALAR(DATA, '$.dms.scout_id') AS scout_id,\n      MAX(DATE(created_at)) AS last_session_date\nFROM `draftboard-368620.JEDIFY.analytic_events` ae\n    WHERE created_at >= '2024-11-22' AND created_at < '2024-11-29'\n    GROUP BY JSON_EXTRACT_SCALAR(DATA, '$.dms.scout_id')\n  ) s ON s.scout_id = ur.user_id\n  WHERE ur.role = 10\n  GROUP BY ur.user_id\n  HAVING roles_num = 1\n),\nChurn AS (\n  SELECT\n    COUNT(*) AS churn_count\n  FROM\n    UserData\n  WHERE\n    applications = 1\n    AND DATE_ADD(last_session_date, INTERVAL 30 DAY) < CURRENT_DATE()\n)\nSELECT\n  SAFE_DIVIDE((SELECT churn_count FROM Churn), COUNT(DISTINCT user_id)) * 100 AS churn_rate_after_first_app\nFROM UserData;\n"
inquiry_nzDQlAKx,What is the average time to fulfill a job?,"WITH hiredJobIds AS( SELECT job_id, date FROM( SELECT JSON_EXTRACT_SCALAR(DATA, '$.dms.jobId') AS job_id, JSON_EXTRACT_SCALAR(DATA, '$.dms.date') AS date, FROM `draftboard-368620.JEDIFY.analytic_events` AS ae WHERE event_name = 'Hired' AND TIMESTAMP(created_at) >= '2024-11-22' AND TIMESTAMP(created_at) < '2024-11-29' UNION ALL SELECT JSON_EXTRACT_SCALAR(DATA, '$.dms.jobId') AS job_id, JSON_EXTRACT_SCALAR(DATA, '$.dms.date') AS date, FROM `draftboard-368620.JEDIFY.records` AS r WHERE event_name = 'Hired' UNION ALL SELECT JSON_EXTRACT_SCALAR(DATA, '$.dms.job_id') AS job_id, JSON_EXTRACT_SCALAR(DATA, '$.dms.date') AS date, FROM `draftboard-368620.JEDIFY.analytic_events` AS ae WHERE event_name = 'Hired' UNION ALL SELECT JSON_EXTRACT_SCALAR(DATA, '$.dms.job_id') AS job_id, JSON_EXTRACT_SCALAR(DATA, '$.dms.date') AS date, FROM `draftboard-368620.JEDIFY.records` AS r WHERE event_name = 'Hired') WHERE job_id IS NOT NULL), Averages AS (SELECT AVG(DATE_DIFF((CASE WHEN hiredJobIds.date IS NOT NULL THEN CAST(PARSE_TIMESTAMP('%Y-%m-%dT%H:%M:%E*S%Ez', hiredJobIds.date) AS DATE) ELSE j.archived_at END ), j.created_at, DAY)) AS average_days_to_fulfill_a_job FROM `draftboard-368620.JEDIFY.jobs` AS j WHERE j.created_at >= '2024-11-22' AND j.created_at < '2024-11-29' JOIN hiredJobIds ON j.id = hiredJobIds.job_id) SELECT * from Averages WHERE average_days_to_fulfill_a_job IS NOT NULL"
inquiry_gJUTBJjF,How does the average time to fill a job vary by industry and location?,"WITH hiredJobs AS( SELECT *, FROM( SELECT event_name, JSON_EXTRACT_SCALAR(DATA, '$.dms.jobId') AS job_id, FROM `draftboard-368620.JEDIFY.analytic_events` WHERE event_name = 'Hired' AND created_at >= '2024-11-22' AND created_at < '2024-11-29' UNION ALL SELECT event_name, JSON_EXTRACT_SCALAR(DATA, '$.dms.jobId') AS job_id, FROM `draftboard-368620.JEDIFY.records` WHERE event_name = 'Hired' UNION ALL SELECT event_name, JSON_EXTRACT_SCALAR(DATA, '$.dms.job_id') AS job_id, FROM `draftboard-368620.JEDIFY.analytic_events` WHERE event_name = 'Hired' UNION ALL SELECT event_name, JSON_EXTRACT_SCALAR(DATA, '$.dms.job_id') AS job_id, FROM `draftboard-368620.JEDIFY.records` WHERE event_name = 'Hired' AND created_at >= '2024-11-22' AND created_at < '2024-11-29') as hiredJobIds join `draftboard-368620.JEDIFY.jobs` AS jobs on hiredJobIds.job_id=jobs.id WHERE job_id IS NOT NULL) SELECT t4.title AS Industry, t2.country AS Country, AVG(DATE_DIFF(hiredJobs.archived_at, hiredJobs.published_at, DAY)) AS Average_Days_To_Fill FROM `draftboard-368620.JEDIFY.companies` AS t1 JOIN `draftboard-368620.JEDIFY.company_industries` AS t4 ON t1.id = t4.company_id JOIN hiredJobs ON t1.id = hiredJobs.company_id JOIN `draftboard-368620.JEDIFY.job_locations` AS t2 ON hiredJobs.id = t2.job_id GROUP BY Industry, Country ORDER BY Industry, Country"
inquiry_wTCHJIzI,What is the trend in activation time for scouts?,"\nDECLARE start_date DATE DEFAULT '2024-11-22';\nDECLARE end_date DATE DEFAULT '2024-11-29';\nDECLARE days_diff INT64 DEFAULT DATE_DIFF(end_date, start_date, DAY);\nWITH UserData AS (\n    SELECT \n        u.created_at, \n        u.id,\n        DATE_DIFF(MIN(ja.created_at), MIN(u.created_at), DAY) AS days_to_activate\n    FROM \n        `JEDIFY.users` u\n    JOIN `JEDIFY.user_roles` ur ON u.id = ur.user_id\n    JOIN `JEDIFY.job_applications` ja ON u.id = ja.scout_id\n    GROUP BY \n        u.id, u.created_at\n    HAVING\n    COUNT(DISTINCT ur.role)=1 AND MAX(ur.role)=10\n),\nBucketedData AS (\n    SELECT\n        CASE \n            WHEN days_diff < 30 THEN FORMAT_DATE('%m/%d/%Y', DATE(u.created_at))\n            WHEN days_diff <= 90 THEN FORMAT_DATE('%m/%d/%Y', DATE_TRUNC(DATE(u.created_at), WEEK(MONDAY)))\n            ELSE FORMAT_DATE('%m/%d/%Y', DATE_TRUNC(DATE(u.created_at), MONTH))\n        END AS bucket,\n        u.id,\n        u.days_to_activate\n    FROM \n        UserData u\n    WHERE \n        u.created_at >= start_date AND u.created_at < end_date\n)\nSELECT\n    bucket AS bucket_size,\n    COUNT(DISTINCT id) AS created_scouts,\n    AVG(days_to_activate) AS avg_days_to_activate\nFROM \n    BucketedData\nGROUP BY \n    bucket_size\nORDER BY \n    bucket_size DESC;\n"
inquiry_ilGkUSVJ,Which industries have the most jobs posted?,"SELECT c.title, COUNT(*) AS job_count FROM `draftboard-368620.JEDIFY.jobs` j JOIN `draftboard-368620.JEDIFY.company_industries` c ON j.company_id = c.company_id WHERE j.status = 'active' AND j.created_at >= '2024-11-03' AND j.created_at < '2024-11-16' GROUP BY c.title ORDER BY job_count DESC"
inquiry_nGVomnFc,Is it easier to fill remote jobs than local jobs?,"WITH hiredJobIds AS( SELECT job_id, FROM ( SELECT event_name, JSON_EXTRACT_SCALAR(DATA, '$.dms.jobId') AS job_id, FROM `draftboard-368620.JEDIFY.analytic_events` WHERE event_name = 'Hired' AND created_at >= '2024-11-22' AND created_at < '2024-11-29' UNION ALL SELECT event_name, JSON_EXTRACT_SCALAR(DATA, '$.dms.jobId') AS job_id, FROM `draftboard-368620.JEDIFY.records` WHERE event_name = 'Hired' UNION ALL SELECT event_name, JSON_EXTRACT_SCALAR(DATA, '$.dms.job_id') AS job_id, FROM `draftboard-368620.JEDIFY.analytic_events` WHERE event_name = 'Hired' UNION ALL SELECT event_name, JSON_EXTRACT_SCALAR(DATA, '$.dms.job_id') AS job_id, FROM `draftboard-368620.JEDIFY.records` WHERE event_name = 'Hired') WHERE job_id IS NOT NULL ) SELECT *, (job_count-filled_jobs_count )AS active_jobs_count, safe_divide(filled_jobs_count,job_count)AS filled_precentage FROM ( SELECT IF(j.workplace = ""remote"", ""Remote"", ""Not remote"") AS remote, COUNT(DISTINCT j.id) AS job_count, COUNT(DISTINCT hiredJobIds.job_id)AS filled_jobs_count, FROM `draftboard-368620.JEDIFY.jobs` AS j WHERE j.created_at >= '2024-11-22' AND j.created_at < '2024-11-29' LEFT JOIN hiredJobIds ON j.id=hiredJobIds.job_id GROUP BY remote )"
inquiry_wfjvWIfK,What is the average time from a company onboarding to posting a first job?,"SELECT c.name AS name, AVG(TIMESTAMP_DIFF(j.first_job_created, c.created_at, DAY)) AS average_days FROM `draftboard-368620.JEDIFY.companies` AS c JOIN (SELECT company_id, MIN(created_at) AS first_job_created FROM `draftboard-368620.JEDIFY.jobs` WHERE created_at >= '2024-11-22' AND created_at < '2024-11-29' GROUP BY company_id) AS j ON c.id = j.company_id WHERE c.name <> """" AND LOWER(c.name) NOT LIKE ""%test%"" AND c.created_at >= '2024-11-22' AND c.created_at < '2024-11-29' GROUP BY c.id,c.name ORDER BY average_days DESC;"
inquiry_CgVJxdCo,What is the total number of active scouts?,"SELECT COUNT(DISTINCT user_id) AS total_active_scouts FROM(select count(distinct ur.id) roles_num, ur.user_id FROM `draftboard-368620.JEDIFY.user_roles` ur join (SELECT distinct JSON_EXTRACT_SCALAR(DATA, '$.dms.scout_id') AS scout_id, JSON_EXTRACT_SCALAR(DATA, '$.dms.session_id') AS session_id, DATE(created_at) AS session_date FROM `draftboard-368620.JEDIFY.analytic_events` where event_name in (""Approved"",""Declined"",""LinkShared"") and date_add(created_at ,interval 30 day) > cast(CURRENT_DATE() as timestamp) and created_at >= '2024-11-22' and created_at < '2024-11-29') s on ur.user_id = s.scout_id join `JEDIFY.job_applications` a on ur.user_id = a.scout_id where ur.role = 10 group by ur.user_id having roles_num = 1 )"
inquiry_SYpdieFW,How many daily active scouts do we have?,"SELECT distinct count(distinct JSON_EXTRACT_SCALAR(DATA, '$.dms.scout_id')) AS daily_active_scouts, FORMAT_TIMESTAMP('%m/%d/%Y', DATE(created_at)) AS session_date from draftboard-368620.JEDIFY.analytic_events where event_name in (""Approved"",""Declined"",""LinkShared"") AND created_at >= '2024-11-22' AND created_at < '2024-11-29' group by FORMAT_TIMESTAMP('%m/%d/%Y', DATE(created_at)) order by session_date desc"
